Occupation Code,Description,Category,,c
399911,Abalone Diver,Specialisation,,
831313,Abalone Sheller,Specialisation,,
149999,Abattoir Manager,Occupation in nec category,,
422111,Aboriginal and Torres Strait Islander Education Worker,Principal Title,,
411511,Aboriginal and Torres Strait Islander Health Worker,Principal Title,,
234314,Aboriginal and Torres Strait Islander Land and Sea Ranger,Specialisation,,
272211,Aboriginal Ceremonial Celebrant,Specialisation,,
111399,Aboriginal Community Council Member,Occupation in nec category,,
241599,Aboriginal Education Teacher,Occupation in nec category,,
422111,Aboriginal Education Worker Coordinator,Specialisation,,
254499,Aboriginal Health Nurse,Occupation in nec category,,
422111,Aboriginal Home-School Liaison Officer,Specialisation,,
224912,Aboriginal Liaison Officer,Specialisation,,
452215,Abseiling Instructor,Specialisation,,
141999,Accommodation and Hospitality Managers nec,Principal Title,,
221111,Accountant (General),Principal Title,,
512299,Accounting Practice Manager,Occupation in nec category,,
551111,Accounts Clerk,Principal Title,,
551111,Accounts Payable or Receivable Clerk,Alternative Title,,
233999,Acoustic Engineer,Occupation in nec category,,
441111,Acoustic Warfare Analyst (Navy),Specialisation,,
224611,Acquisitions Librarian,Specialisation,,
711513,Acrylic Fabricator,Specialisation,,
411311,Activities Coordinator,Specialisation,,
411311,Activities Officer,Specialisation,,
211111,Actor,Principal Title,,
211199,"Actors, Dancers and Other Entertainers nec",Principal Title,,
552314,Actuarial Clerk,Specialisation,,
224111,Actuary,Principal Title,,
252211,Acupuncturist,Principal Title,,
132111,Administration Manager,Alternative Title,,
271213,Administrative Appeals Tribunal Member,Specialisation,,
111212,Admiral (Navy),Specialisation,,
542112,Admissions Clerk,Principal Title,,
253411,Adolescent Psychiatrist,Specialisation,,
242211,Adult Education Teacher,Specialisation,,
452215,Adventure Challenge Instructor,Specialisation,,
225111,Advertising Account Executive,Alternative Title,,
225111,Advertising Account Manager,Alternative Title,,
131113,Advertising Manager,Principal Title,,
225111,Advertising Specialist,Principal Title,,
312116,Aerial Survey Technician,Specialisation,,
452111,Aerobics Instructor,Specialisation,,
233911,Aeronautical Engineer,Principal Title,,
233911,Aeronautical Engineering Officer (Navy),Specialisation,,
231111,Aeroplane Pilot,Principal Title,,
312914,Aerospace Draftsperson,Specialisation,,
233911,Aerospace Engineer,Specialisation,,
233911,Aerospace Engineer Officer - Aeronautical (Air Force),Specialisation,,
233911,Aerospace Engineer Officer - Armament (Air Force),Specialisation,,
233911,Aerospace Engineer Officer - Electronics (Air Force),Specialisation,,
423111,Aged or Disabled Care Worker,Alternative Title,,
423111,Aged or Disabled Carer,Principal Title,,
234111,Agricultural Adviser,Alternative Title,,
311112,Agricultural and Agritech Technician,Principal Title,,
721111,Agricultural and Horticultural Mobile Plant Operator,Principal Title,,
234111,Agricultural Consultant,Principal Title,,
224311,Agricultural Economist,Specialisation,,
233912,Agricultural Engineer,Principal Title,,
234111,Agricultural Extension Officer,Specialisation,,
133611,Agricultural Goods Logistics Manager,Specialisation,,
234114,Agricultural Research Scientist,Principal Title,,
234114,Agricultural Scientist,Alternative Title,,
311112,Agriculture Laboratory Technician,Specialisation,,
234115,Agronomist,Principal Title,,
111212,Air Chief Marshal (Air Force),Specialisation,,
111212,Air Commodore (Air Force),Specialisation,,
139111,Air Defence Officer (Air Force) (Aus),Specialisation,,
441111,Air Dispatcher (Army),Specialisation,,
111212,Air Force Senior Officer,Alternative Title,,
111212,Air Marshal (Air Force),Specialisation,,
234313,Air Pollution Analyst,Specialisation,,
441111,Air Surveillance Operator (Air Force),Specialisation,,
231112,Air Traffic Controller,Principal Title,,
231199,Air Transport Professionals nec,Principal Title,,
111212,Air Vice Marshal (Air Force),Specialisation,,
399999,Airborne Electronics Analyst (Air Force),Occupation in nec category,,
334112,Airconditioning and Mechanical Services Plumber,Principal Title,,
342111,Airconditioning and Refrigeration Mechanic,Principal Title,,
312511,Airconditioning Drafting Officer,Specialisation,,
233512,Airconditioning Engineer,Specialisation,,
712911,Airconditioning Plant Operator,Specialisation,,
721911,Aircraft Baggage Handler and Airline Ground Crew,Principal Title,,
811211,Aircraft Cabin Cleaner,Specialisation,,
312412,Aircraft Electronics Technician,Specialisation,,
441111,Aircraft Life Support Fitter (Air Force),Specialisation,,
441111,Aircraft Life Support Fitter (Army),Specialisation,,
591211,Aircraft Load Controller,Specialisation,,
323214,Aircraft Machinist,Specialisation,,
323112,Aircraft Maintenance Engineer (Airframes),Specialisation,,
323111,Aircraft Maintenance Engineer (Avionics),Principal Title,,
323111,Aircraft Maintenance Engineer (Electrical),Specialisation,,
323112,Aircraft Maintenance Engineer (Engines),Specialisation,,
323111,Aircraft Maintenance Engineer (Instruments),Specialisation,,
323112,Aircraft Maintenance Engineer (Mechanical),Principal Title,,
323111,Aircraft Maintenance Engineer (Radio),Specialisation,,
323113,Aircraft Maintenance Engineer (Structures),Principal Title,,
231199,Aircraft Navigator,Occupation in nec category,,
733112,Aircraft Refueller,Principal Title,,
323113,"Aircraft Structural Fitter (Air Force, Army)",Specialisation,,
323112,"Aircraft Technician (Air Force, Army)",Specialisation,,
441111,Aircrewman (Navy),Specialisation,,
441111,Airfield Defence Guard (Air Force),Specialisation,,
233211,Airfield Engineer Officer (Air Force),Specialisation,,
139999,Airport Manager,Occupation in nec category,,
231199,Airworthiness Inspector,Occupation in nec category,,
442211,"Alarm, Security or Surveillance Monitor",Principal Title,,
111311,Alderman,Alternative Title,,
121399,Alpaca Farmer,Occupation in nec category,,
712311,Alumina Refinery Operator,Specialisation,,
139999,Ambassador,Occupation in nec category,,
411111,Ambulance Officer,Principal Title,,
139999,Ambulance Services Manager,Occupation in nec category,,
149111,Amusement Centre Manager,Principal Title,,
711999,Amusement Ride Operator,Occupation in nec category,,
311211,Anaesthetic Technician,Principal Title,,
253211,Anaesthetist,Principal Title,,
261311,Analyst Programmer,Principal Title,,
234211,Analytical Chemist,Specialisation,,
234599,Anatomist,Occupation in nec category,,
361199,Animal Attendants and Trainers nec,Principal Title,,
234599,Animal Behaviourist,Occupation in nec category,,
311113,Animal Husbandry Technician,Principal Title,,
599599,Animal Management Officer,Occupation in nec category,,
361311,Animal Nurse,Alternative Title,,
234115,Animal Nutritionist,Specialisation,,
361199,Animal Trainer,Occupation in nec category,,
361199,Animal Welfare Officer,Occupation in nec category,,
232412,Animator,Specialisation,,
322112,Anodiser,Specialisation,,
272499,Anthropologist,Occupation in nec category,,
142112,Antique Dealer,Principal Title,,
121311,Apiarist,Principal Title,,
393211,Apparel Cutter,Principal Title,,
261312,Applications Developer,Alternative Title,,
313199,Applications Packager,Occupation in nec category,,
452413,Apprentice Jockey,Specialisation,,
121111,Aquaculture Farm Manager,Alternative Title,,
121111,Aquaculture Farmer,Principal Title,,
234116,Aquaculture or Fisheries Research Scientist,Alternative Title,,
234116,Aquaculture or Fisheries Scientist,Principal Title,,
311114,Aquaculture or Fisheries Technician,Principal Title,,
363111,Aquaculture Supervisor,Principal Title,,
842111,Aquaculture Worker,Principal Title,,
361114,Aquarist,Specialisation,,
149113,Aquatic Centre Manager,Specialisation,,
252511,Aquatic Physiotherapist,Specialisation,,
362511,Arboricultural Consultant,Specialisation,,
362511,Arboriculturist,Alternative Title,,
362511,Arborist,Principal Title,,
712311,Arc Welder,Specialisation,,
272414,Archaeologist,Principal Title,,
139999,Archbishop,Occupation in nec category,,
232111,Architect,Principal Title,,
312111,Architectural Associate,Alternative Title,,
312111,Architectural Draftsperson,Principal Title,,
399999,Architectural Model Maker,Occupation in nec category,,
512299,Architectural Practice Manager,Occupation in nec category,,
312199,"Architectural, Building and Surveying Technicians nec",Principal Title,,
312914,Architecture Technician,Specialisation,,
224211,Archivist,Principal Title,,
341111,Armature Winder,Specialisation,,
442212,Armoured Car Escort,Principal Title,,
139111,Armoured Corps Officer (Army),Specialisation,,
111212,Army Senior Officer,Alternative Title,,
451511,Aromatherapist,Specialisation,,
234911,Art Conservator,Specialisation,,
212311,"Art Director (Film, Television or Stage)",Principal Title,,
139911,Art Gallery Director,Specialisation,,
272411,Art Historian,Specialisation,,
272314,Art Psychotherapist or Therapist,Specialisation,,
249211,Art Teacher (Private Tuition),Principal Title,,
311113,Artificial Insemination Technician,Specialisation,,
139111,Artillery Officer (Army),Specialisation,,
212111,Artistic Director,Principal Title,,
139911,Arts Administrator or Manager,Principal Title,,
711999,Asbestos Remover,Occupation in nec category,,
599599,Assessment and Compliance Officer,Occupation in nec category,,
224511,Asset Manager (Land and Property),Specialisation,,
111211,Assistant Commissioner (Police),Specialisation,,
134212,Assistant Director of Nursing,Specialisation,,
423312,Assistant in Nursing,Alternative Title,,
212412,Associate Editor,Alternative Title,,
251911,Asthma Educator,Specialisation,,
451899,Astrologer,Occupation in nec category,,
234914,Astronomer,Specialisation,,
452499,Athlete,Occupation in nec category,,
611111,Auctioneer,Principal Title,,
212399,Audio Director,Occupation in nec category,,
399516,Audio Operator,Specialisation,,
252711,Audiologist,Principal Title,,
311299,Audiometrist,Occupation in nec category,,
224611,Audiovisual Librarian,Specialisation,,
342313,Audiovisual Technician,Specialisation,,
551111,Audit Clerk,Specialisation,,
221214,Audit Officer,Alternative Title,,
452411,Australian Rules Footballer,Specialisation,,
212211,Author,Principal Title,,
899412,Autoglazier,Principal Title,,
394213,Automatic Profile Sander Operator,Specialisation,,
321211,Automatic Transmission Mechanic,Specialisation,,
233513,Automation and Control Engineer,Specialisation,,
312999,Automation Technician,Occupation in nec category,,
731199,Automobile Drivers nec,Principal Title,,
321211,Automotive Airconditioning Mechanic,Specialisation,,
621911,Automotive Dismantler,Specialisation,,
321111,Automotive Electrical Fitter,Alternative Title,,
321111,Automotive Electrician,Principal Title,,
321212,Automotive Heavy Mechanic,Specialisation,,
321211,Automotive Light Mechanic,Alternative Title,,
323214,Automotive Machinist,Specialisation,,
621312,Automotive Parts Interpreter,Alternative Title,,
323112,Aviation Technician Aircraft (Navy),Specialisation,,
233911,Avionics Systems Engineer,Specialisation,,
323111,Avionics Technician (Defence),Specialisation,,
821412,Awning Installer,Specialisation,,
261111,BA (ICT),Alternative Title,,
721212,Backhoe Operator,Principal Title,,
141999,Backpackers Manager,Occupation in nec category,,
234517,Bacteriologist (Non-medical),Specialisation,,
351111,Baker,Principal Title,,
851211,Bakery Assistant,Specialisation,,
831111,Baking Factory Worker,Principal Title,,
211112,Ballet Dancer,Specialisation,,
249212,Ballet Teacher (Private Tuition),Specialisation,,
231199,Balloonist,Occupation in nec category,,
211212,Band Leader,Specialisation,,
711313,Band Saw Operator,Specialisation,,
211214,Band Singer,Specialisation,,
149914,Bank Manager,Specialisation,,
552111,Bank Worker,Principal Title,,
431111,Bar Attendant,Principal Title,,
431911,Bar Back,Alternative Title,,
431111,Bar Steward,Alternative Title,,
431911,Bar Useful or Busser,Principal Title,,
391111,Barber,Specialisation,,
899211,Barge Hand,Specialisation,,
431112,Barista,Principal Title,,
271111,Barrister,Principal Title,,
452317,Basketball Coach,Specialisation,,
711313,Beam Saw Operator,Specialisation,,
711715,Beamer,Specialisation,,
451111,Beauty Therapist,Principal Title,,
141911,Bed and Breakfast Operator,Principal Title,,
121312,Beef Cattle Farm Manager,Alternative Title,,
842311,Beef Cattle Farm Worker,Principal Title,,
121312,Beef Cattle Farmer,Principal Title,,
121312,Beef Cattle Grazier,Alternative Title,,
121311,Beekeeper,Alternative Title,,
241511,Behaviour Support Teacher,Specialisation,,
561111,Betting Agency Counter Clerk,Principal Title,,
142113,Betting Agency Manager,Principal Title,,
561199,Betting Clerks nec,Principal Title,,
712999,Beverage Distiller,Occupation in nec category,,
224611,Bibliographer,Specialisation,,
561211,Bicycle Courier,Specialisation,,
899911,Bicycle Mechanic,Principal Title,,
899911,Bicycle Repairer,Alternative Title,,
899911,Bicycle Technician,Specialisation,,
234513,Biochemist,Principal Title,,
233913,Bioengineer,Specialisation,,
311413,Biological Technical Officer,Specialisation,,
234511,Biologist (General),Alternative Title,,
233913,Biomedical Engineer,Principal Title,,
233914,Biomedical Engineering Technologist,Specialisation,,
312999,Biomedical Technician,Occupation in nec category,,
224116,Biometrician,Specialisation,,
311313,Biosecurity Officer,Principal Title,,
599514,Biosecurity Officer (Weeds and Pests),Alternative Title,,
224116,Biostatistician,Specialisation,,
234514,Biotechnologist,Principal Title,,
831111,Biscuit Factory Worker,Specialisation,,
832199,Biscuit Packer,Occupation in nec category,,
139999,Bishop,Occupation in nec category,,
141111,Bistro Manager,Specialisation,,
712999,Bitumen Plant Operator,Occupation in nec category,,
322111,Blacksmith,Principal Title,,
712916,Bleach Plant Operator,Specialisation,,
331111,Blocklayer,Alternative Title,,
212499,Blogger,Occupation in nec category,,
311216,Blood Collector,Specialisation,,
711514,Blow Moulding Machine Operator,Specialisation,,
141999,Boarding House Manager,Occupation in nec category,,
149911,Boarding Kennel or Cattery Operator,Principal Title,,
399111,Boat Builder and Repairer,Principal Title,,
231299,Boating Safety Officer,Occupation in nec category,,
441111,Boatswains Mate (Navy),Specialisation,,
721216,Bobcat Operator,Specialisation,,
451814,Body Artist,Principal Title,,
612112,Body Corporate Manager,Specialisation,,
451814,Body Piercer,Specialisation,,
442299,Bodyguard,Occupation in nec category,,
712212,Bogger Operator,Specialisation,,
712911,Boiler or Engine Operator,Principal Title,,
312512,Boiler Testing Technician,Specialisation,,
839111,Boilermaker's Assistant,Specialisation,,
322311,Boilermaker-Welder,Specialisation,,
312611,Boilers and Pressure Vessels Inspector,Specialisation,,
441312,Bomb Squad Officer,Specialisation,,
591212,Bond Clerk,Specialisation,,
212212,Book or Script Editor,Principal Title,,
639411,Booking Clerk,Specialisation,,
551211,Bookkeeper,Principal Title,,
552311,Bookmaker,Principal Title,,
561112,Bookmaker's Clerk,Principal Title,,
599521,Boring Inspector,Specialisation,,
311413,Botanical Technical Officer,Specialisation,,
234515,Botanist,Principal Title,,
621911,Bottle Dealer,Specialisation,,
832112,Bottling Attendant,Specialisation,,
442213,Bouncer,Alternative Title,,
899999,Bowling Alley Attendant,Occupation in nec category,,
532112,Braille Transcriber,Specialisation,,
711199,Brake Lining Maker,Occupation in nec category,,
321211,Brake Mechanic,Specialisation,,
712311,Brake Press Operator,Specialisation,,
225113,Brand Manager,Specialisation,,
832199,Bread Packer,Occupation in nec category,,
831111,Bread Room Hand,Specialisation,,
831112,Brewery Worker,Principal Title,,
711111,Brick Extruder Operator,Specialisation,,
839913,Brick Handler,Specialisation,,
331111,Brick Paver,Specialisation,,
331111,Bricklayer,Principal Title,,
821111,Bricklayer's Assistant,Specialisation,,
149111,Bridge Club Manager,Specialisation,,
111212,Brigadier (Army),Specialisation,,
842411,Broadacre Crop and Livestock Farm Worker,Principal Title,,
121711,Broadacre Crop and Livestock Farmer,Principal Title,,
363116,Broadacre Crop Chemical Spray Operator,Specialisation,,
121599,Broadacre Crop Growers nec,Principal Title,,
399511,Broadcast Transmitter Operator,Principal Title,,
149999,Brothel Keeper,Occupation in nec category,,
711999,Brush Maker,Occupation in nec category,,
821111,Builder's Labourer,Principal Title,,
133111,Building and Construction Manager,Alternative Title,,
312999,Building and Engineering Technicians nec,Principal Title,,
312112,Building Associate,Principal Title,,
312113,Building Certifier,Alternative Title,,
312112,Building Construction Supervisor,Specialisation,,
312111,Building Drafting Officer,Specialisation,,
233213,Building Economist,Alternative Title,,
312114,Building Estimator,Alternative Title,,
312113,Building Inspector,Principal Title,,
821411,Building Insulation Installer,Principal Title,,
149913,Building Manager,Alternative Title,,
233512,Building Services Engineer,Specialisation,,
312113,Building Surveyor,Alternative Title,,
712912,Bulk Materials Handling Plant Operator,Principal Title,,
721213,Bulldozer Operator,Principal Title,,
711911,Bullet Maker,Specialisation,,
452211,Bungy Jump Master,Principal Title,,
149413,Bus Company Manager,Specialisation,,
731211,Bus Driver,Principal Title,,
451899,Bus Escort,Occupation in nec category,,
599518,Bus Inspector,Specialisation,,
843999,Bush Regenerator,Occupation in nec category,,
452216,Bushwalking Guide,Alternative Title,,
612111,Business Agent,Alternative Title,,
224713,Business Analyst,Specialisation,,
612111,Business Broker,Principal Title,,
224713,Business Consultant,Alternative Title,,
261111,Business Consultant (ICT),Alternative Title,,
131112,Business Development Manager,Specialisation,,
224713,Business Improvement Manager,Specialisation,,
224912,Business Liaison Officer,Specialisation,,
342311,Business Machine Mechanic,Principal Title,,
132111,Business Services Manager,Alternative Title,,
261111,Business Systems Analyst,Specialisation,,
451612,Business Travel Consultant,Specialisation,,
211113,Busker,Specialisation,,
351211,Butcher or Smallgoods Maker,Principal Title,,
851299,Butcher's Assistant,Occupation in nec category,,
451899,Butler,Occupation in nec category,,
831114,Butter Maker,Specialisation,,
451711,Cabin Crew,Alternative Title,,
451711,Cabin Supervisor (Aircraft),Specialisation,,
394112,Cabinet Installer,Specialisation,,
394112,Cabinet Maker,Principal Title,,
721999,Cable Ferry Operator,Occupation in nec category,,
342411,Cabler (Data and Telecommunications),Principal Title,,
232212,Cadastral Surveyor,Specialisation,,
431211,Cafe Assistant,Alternative Title,,
431211,Cafe Attendant,Alternative Title,,
141111,Cafe or Restaurant Manager,Principal Title,,
431211,Cafe Worker,Principal Title,,
351112,Cake Decorator,Specialisation,,
233999,Calibration Engineer,Occupation in nec category,,
311499,Calibration Technician,Occupation in nec category,,
541111,Call Centre Supervisor,Alternative Title,,
541111,Call or Contact Centre Coach,Specialisation,,
149211,Call or Contact Centre Manager,Principal Title,,
541112,Call or Contact Centre Operator,Principal Title,,
541111,Call or Contact Centre Team Leader,Principal Title,,
541111,Call or Contact Centre Workforce Planner,Specialisation,,
452312,Callisthenics Instructor,Specialisation,,
399512,"Camera Operator (Film, Television or Video)",Principal Title,,
323314,Camera Repairer,Specialisation,,
711911,Candle Maker,Specialisation,,
832112,Cannery Worker,Specialisation,,
399999,Canoe Maker,Occupation in nec category,,
711313,Cant Gang Sawyer,Specialisation,,
431211,Canteen Attendant,Specialisation,,
141111,Canteen Manager,Specialisation,,
393111,Canvas Goods Fabricator,Principal Title,,
393111,Canvas Goods Maker,Alternative Title,,
111212,Captain (Navy),Specialisation,,
811111,Car Detailer,Principal Title,,
899912,Car Park Attendant,Principal Title,,
149413,Car Rental Agency Manager,Specialisation,,
621912,Car Rental Sales Assistant,Specialisation,,
141211,Caravan Park and Camping Ground Manager,Principal Title,,
221112,Carbon Accountant,Specialisation,,
311212,Cardiac Technician,Principal Title,,
311212,Cardiac Technologist,Specialisation,,
253312,Cardiologist,Principal Title,,
252511,Cardiothoracic Physiotherapist,Specialisation,,
253512,Cardiothoracic Surgeon,Principal Title,,
272111,Careers Adviser,Alternative Title,,
272111,Careers Counsellor,Principal Title,,
899111,Caretaker,Principal Title,,
331212,Carpenter,Principal Title,,
331211,Carpenter and Joiner,Principal Title,,
821111,Carpenter's Assistant,Specialisation,,
811611,Carpet Cleaner,Principal Title,,
332111,Carpet Layer,Specialisation,,
621999,Carpet Measurer,Occupation in nec category,,
711715,Carpet Weaver,Specialisation,,
821412,Carport Erector,Specialisation,,
232213,Cartographer,Principal Title,,
711311,Carton Making Machinist,Specialisation,,
232412,Cartoonist,Specialisation,,
561999,Cash Processor,Occupation in nec category,,
621711,Cash Van Salesperson,Principal Title,,
631112,Cashier,Alternative Title,,
141999,Casino Duty Manager,Occupation in nec category,,
431311,Casino Gaming Inspector,Specialisation,,
223112,Casting Agent,Specialisation,,
212399,Casting Director,Occupation in nec category,,
224611,Cataloguer,Specialisation,,
225113,Category Manager,Specialisation,,
141111,Caterer,Specialisation,,
842312,Cattle and Sheep Farm Worker,Principal Title,,
121711,Cattle and Wheat Farmer,Specialisation,,
842314,Cattle Hoof Trimmer,Specialisation,,
452299,Caving Guide,Occupation in nec category,,
333211,Ceiling Fixer,Specialisation,,
234514,Cell Geneticist,Specialisation,,
431999,Cellar Hand (Hotel),Occupation in nec category,,
839211,Cellular Plastics Cutter,Specialisation,,
839911,Cement and Concrete Plant Worker,Principal Title,,
712913,Cement Crusher Operator,Specialisation,,
712913,Cement Despatch Operator,Specialisation,,
712913,Cement Grinding Mill Operator,Specialisation,,
712913,Cement Kiln Operator,Specialisation,,
733111,Cement Mixer Driver,Specialisation,,
712913,Cement Production Plant Operator,Principal Title,,
232312,Ceramic Designer,Specialisation,,
333411,Ceramic Tiler,Specialisation,,
254111,Certified Midwife,Alternative Title,,
321214,Chainsaw Mechanic,Specialisation,,
712111,Chairlift Operator,Specialisation,,
271212,Chamber Magistrate,Alternative Title,,
224712,Change Management Facilitator,Specialisation,,
272211,Chaplain,Specialisation,,
254311,Charge Nurse,Alternative Title,,
731212,Charter and Tour Bus Driver,Principal Title,,
731111,Chauffeur,Principal Title,,
639411,Check-in Agent,Specialisation,,
631111,Checkout Operator,Principal Title,,
621511,Checkout Supervisor,Alternative Title,,
831114,Cheese Factory Worker,Specialisation,,
831114,Cheese Maker,Specialisation,,
832199,Cheese Packer,Occupation in nec category,,
351311,Chef,Principal Title,,
351311,Chef de Partie,Specialisation,,
851299,Chef's Assistant,Occupation in nec category,,
233111,Chemical Engineer,Principal Title,,
311411,Chemical Instrumentation  Officer,Specialisation,,
399211,Chemical Plant Operator,Principal Title,,
839912,Chemical Plant Worker,Principal Title,,
311411,Chemical Process Analyst,Specialisation,,
711911,Chemical Production Machine Operator,Principal Title,,
399211,Chemicals Distiller,Specialisation,,
399211,Chemicals Fermentation Operator,Specialisation,,
234211,Chemist,Principal Title,,
311411,Chemistry Laboratory Technician,Specialisation,,
311411,Chemistry Technical Officer,Alternative Title,,
311411,Chemistry Technician,Principal Title,,
712111,Cherry Picker Operator,Specialisation,,
111111,Chief Executive Officer,Alternative Title,,
111111,Chief Executive or Managing Director,Principal Title,,
132211,Chief Financial Officer,Alternative Title,,
135111,Chief Information Officer,Principal Title,,
135111,Chief Information Security Officer,Specialisation,,
111312,Chief Minister,Specialisation,,
111211,Chief Operating Officer,Alternative Title,,
135111,Chief Technology Officer,Alternative Title,,
253411,Child and Adolescent Psychiatrist,Specialisation,,
421111,Child Care Aide,Alternative Title,,
134111,Child Care Centre Director,Alternative Title,,
134111,Child Care Centre Manager,Principal Title,,
134111,Child Care Coordinator,Alternative Title,,
421111,Child Care Group Leader (Aus),Specialisation,,
421111,Child Care Worker,Principal Title,,
423411,Child or Youth Residential Care Assistant,Principal Title,,
253411,Child Psychiatrist,Specialisation,,
251911,Childbirth Educator,Specialisation,,
271212,Children's Court Magistrate,Specialisation,,
224611,Children's Librarian,Specialisation,,
421111,Children's Nursery Assistant,Specialisation,,
741111,Chiller Hand,Specialisation,,
811699,Chimney Sweep,Occupation in nec category,,
411611,Chinese (Tui-Na) Masseur,Specialisation,,
252214,Chinese Herbalist,Specialisation,,
252214,Chinese Medicine Practitioner,Alternative Title,,
512211,Chiropractic Practice Manager,Specialisation,,
252111,Chiropractor,Principal Title,,
831113,Chocolate Maker,Specialisation,,
832111,Chocolate Packer,Principal Title,,
211212,Choral Director,Specialisation,,
211214,Chorister,Specialisation,,
149912,Cinema or Theatre Manager,Principal Title,,
212313,Cinematographer,Alternative Title,,
211113,Circus Artist,Specialisation,,
211199,Circus Trainer,Occupation in nec category,,
451811,Civil Celebrant,Principal Title,,
233211,Civil Engineer,Principal Title,,
312212,Civil Engineering Assistant,Specialisation,,
312211,Civil Engineering Design Draftsperson,Specialisation,,
312211,Civil Engineering Draftsperson,Principal Title,,
312212,Civil Engineering Technician,Principal Title,,
312212,Civil Laboratory Technician,Specialisation,,
561911,Classified Advertising Clerk,Principal Title,,
839913,Clay Processing Factory Worker,Principal Title,,
839913,Clay Processing Labourer,Alternative Title,,
711111,Clay Products Machine Operator,Principal Title,,
711199,"Clay, Concrete, Glass and Stone Processing Machine Operators nec",Principal Title,,
811699,Cleaners nec,Principal Title,,
399911,Clearance Diver (Navy),Specialisation,,
599999,Clerical and Administrative Workers nec,Principal Title,,
561999,Clerical and Office Support Workers nec,Principal Title,,
599211,Clerk of Court,Principal Title,,
312112,Clerk of Works,Specialisation,,
149212,Client Service Manager,Alternative Title,,
234913,Climatologist,Specialisation,,
452214,Climbing Guide,Specialisation,,
253399,Clinical Allergist,Occupation in nec category,,
599915,Clinical Coder,Principal Title,,
253915,Clinical Cytopathologist,Specialisation,,
411212,Clinical Dental Technician,Alternative Title,,
233913,Clinical Engineer,Specialisation,,
253399,Clinical Geneticist,Occupation in nec category,,
253313,Clinical Haematologist,Principal Title,,
253399,Clinical Immunologist,Occupation in nec category,,
254211,Clinical Nurse Educator,Alternative Title,,
253399,Clinical Pharmacologist,Occupation in nec category,,
272311,Clinical Psychologist,Principal Title,,
224213,Clinical Trial Data Manager,Specialisation,,
899999,Clothes Sorter,Occupation in nec category,,
393212,Clothing Patternmaker,Principal Title,,
621111,Clothing Sales Assistant,Specialisation,,
393299,Clothing Trades Workers nec,Principal Title,,
261316,Cloud Computing Engineer,Specialisation,,
211113,Clown,Specialisation,,
141411,Club Licensee,Alternative Title,,
324211,Coach Builder,Specialisation,,
731212,Coach Tour Driver,Specialisation,,
712212,Coal Cutter,Specialisation,,
839313,Coal Sample Tester,Specialisation,,
599999,Coding Clerk,Occupation in nec category,,
121699,Coffee Grower,Occupation in nec category,,
399999,Coffee Machine Technician,Occupation in nec category,,
842299,Coffee Plantation Worker,Occupation in nec category,,
831199,Coffee Roaster,Occupation in nec category,,
599311,Collection Agent,Specialisation,,
599311,Collection Officer,Specialisation,,
324111,Collision Repairer,Alternative Title,,
111212,Colonel (Army),Specialisation,,
212413,Columnist,Specialisation,,
441111,Combat Engineer (Army),Specialisation,,
233411,Combat System Engineer,Specialisation,,
441111,Combat Systems Operator (Navy),Specialisation,,
441111,Combat Systems Operator Mine Warfare (Navy),Specialisation,,
312412,Combat Systems Technician,Specialisation,,
211113,Comedian,Specialisation,,
111212,Commander (Navy),Specialisation,,
441111,Commando (Army),Specialisation,,
221112,Commercial Accountant,Specialisation,,
811211,Commercial Cleaner,Principal Title,,
811411,Commercial Housekeeper,Principal Title,,
232511,Commercial Interior Designer,Specialisation,,
211214,Commercial Singer (Advertising),Specialisation,,
351311,Commis Chef,Specialisation,,
139111,Commissioned Defence Force Officer,Principal Title,,
139112,Commissioned Fire Officer,Principal Title,,
139113,Commissioned Police Officer,Principal Title,,
222111,Commodities Broker,Alternative Title,,
222111,Commodities Trader,Principal Title,,
111212,Commodore (Navy),Specialisation,,
342314,Communication Electronic Technician (Air Force),Specialisation,,
342312,Communication Information Systems Sailor (Navy),Specialisation,,
312412,Communications  Engineering Technician,Specialisation,,
312411,Communications and Data Systems Drafting Officer,Specialisation,,
342312,Communications and Information Systems Controller (Air Force),Specialisation,,
263312,Communications Consultant,Alternative Title,,
599914,Communications Controller,Alternative Title,,
131114,Communications Manager,Alternative Title,,
342312,Communications Operator,Principal Title,,
263312,Communications Specialist (ICT),Alternative Title,,
342414,Communications Technician,Alternative Title,,
272611,Community Artist,Alternative Title,,
139911,Community Arts Centre Manager,Specialisation,,
272611,Community Arts Officer,Alternative Title,,
272611,Community Arts Worker,Principal Title,,
111311,Community Board Member (NZ),Specialisation,,
272611,Community Cultural Development Officer,Specialisation,,
411711,Community Development Officer,Specialisation,,
251911,Community Health Worker,Alternative Title,,
224912,Community Liaison Officer,Specialisation,,
254111,Community Midwife,Specialisation,,
251513,Community Pharmacist,Alternative Title,,
131114,Community Relations Manager,Specialisation,,
411711,Community Support Worker,Specialisation,,
411711,Community Worker,Principal Title,,
733111,Compactor Driver (Rubbish Collection),Specialisation,,
221211,Company Secretary,Principal Title,,
252299,Complementary Health Therapists nec,Principal Title,,
211211,Composer,Principal Title,,
399111,Composite Boat Builder,Specialisation,,
261313,Computer Applications Engineer,Specialisation,,
263111,Computer Network and Systems Engineer,Principal Title,,
263111,Computer Network Engineer,Specialisation,,
712311,Computer Numeric Control Machine Operator,Specialisation,,
312412,Computer Numeric Control Technician,Specialisation,,
